,teamID,Q,time,totTime,down,distance,side,yard,play,gameID,S,homeTeam,awayTeam,teamPoss,dist2goal,awayScore,homeScore
0,1,1,15:00,3600,,,BAL,30,"Brand, F. kicks off.",5154,21,BAL,YKW,BAL,70,0,0
1,2,1,15:00,3600,,,,,The kick sails into the endzone.,5154,21,BAL,YKW,YKW,,0,0
2,2,1,15:00,3600,,,,,"Snuggles, J. takes it out of the endzone!",5154,21,BAL,YKW,YKW,,0,0
3,2,1,15:00,3600,,,YKW,9,"Kickoff of 74 yards. Returned by Snuggles, J. for 9 yards.",5154,21,BAL,YKW,YKW,91,0,0
4,2,1,14:55,3595,1,10,YKW,9,"Rush by Hanyadi, M. for 3 yds. Tackle by Nikko, G..",5154,21,BAL,YKW,YKW,91,0,0
5,2,1,14:37,3577,1,10,YKW,22,"Hawks Penalty on Beaner (R), S.: Tripping.",5154,21,BAL,YKW,YKW,78,0,0
6,2,1,14:26,3566,1,10,YKW,22,"Rush by Hanyadi, M. for 0 yds. Tackle by Baldari, F..",5154,21,BAL,YKW,YKW,78,0,0
7,2,1,14:13,3553,2,10,YKW,22,"Pass by Bigsby, C., complete to Gordon, R. for 26 yds. Tackle by Marston, J..",5154,21,BAL,YKW,YKW,78,0,0
8,2,1,13:22,3502,1,10,YKW,48,"Pass by Bigsby, C., complete to Rodriguez, B. for 8 yds. Tackle by Uchiha, L..",5154,21,BAL,YKW,YKW,52,0,0
9,2,1,12:56,3476,2,2,BAL,43,"Rush by Hanyadi, M. for 8 yds. Tackle by Troyski, X..",5154,21,BAL,YKW,YKW,43,0,0
10,2,1,12:29,3449,1,10,BAL,35,"Pass by Bigsby, C., complete to Hanyadi, M. for 17 yds. Tackle by Vans, R..",5154,21,BAL,YKW,YKW,35,0,0
11,2,1,11:44,3404,1,10,BAL,18,"Pass by Bigsby, C., complete to Gordon, R. for 18 yds.",5154,21,BAL,YKW,YKW,18,0,0
12,2,1,11:13,3373,,,,,TOUCHDOWN! (Smalls (R) kick good),5154,21,BAL,YKW,YKW,,7,0
13,2,1,11:13,3373,,,YKW,30,"Smalls (R), D. kicks off.",5154,21,BAL,YKW,YKW,70,7,0
14,1,1,11:13,3373,,,,,"Green, W. takes it down the right side.",5154,21,BAL,YKW,BAL,,7,0
15,1,1,11:13,3373,,,,,"Green, W. has blockers in front of him.",5154,21,BAL,YKW,BAL,,7,0
16,1,1,11:13,3373,,,,,It's a footrace!,5154,21,BAL,YKW,BAL,,7,0
17,1,1,11:13,3373,,,,,A 99 yard return.,5154,21,BAL,YKW,BAL,,7,0
18,1,1,10:56,3356,,,,,TOUCHDOWN! (Brand kick good),5154,21,BAL,YKW,BAL,,7,7
19,1,1,10:56,3356,,,BAL,30,"Brand, F. kicks off.",5154,21,BAL,YKW,BAL,70,7,7
20,2,1,10:56,3356,,,YKW,18,"Kickoff of 69 yards. Returned by Swift, N. for 17 yards.",5154,21,BAL,YKW,YKW,82,7,7
21,2,1,10:49,3349,1,10,YKW,18,"Pass by Bigsby, C. to Rodriguez, B. is incomplete. Broken up by Marston, J..",5154,21,BAL,YKW,YKW,82,7,7
22,2,1,10:43,3343,2,10,YKW,18,"Rush by Hanyadi, M. for 3 yds. Tackle by Baldari, F..",5154,21,BAL,YKW,YKW,82,7,7
23,2,1,10:34,3334,3,7,YKW,21,"Pass by Bigsby, C. to Gordon, R. falls incomplete.",5154,21,BAL,YKW,YKW,79,7,7
24,1,1,10:28,3328,4,7,BAL,21,"Punt by Smalls (R), D. of 64 yards.",5154,21,BAL,YKW,BAL,79,7,7
25,1,1,10:28,3328,,,,,"Returned by Green, W. for 11 yards.",5154,21,BAL,YKW,BAL,,7,7
26,1,1,10:14,3314,1,10,BAL,26,"Rush by Reed, A. for a short gain. Tackle by Kroustis, G..",5154,21,BAL,YKW,BAL,74,7,7
27,1,1,9:59,3299,2,10,BAL,26,"Rush by Reed, A. for a short gain. Tackle by Maulolo, C..",5154,21,BAL,YKW,BAL,74,7,7
28,1,1,9:39,3279,3,10,BAL,26,"Rush by Williams, D. for 5 yds. Tackle by Selich, A..",5154,21,BAL,YKW,BAL,74,7,7
